x,y,z,t,mu,alpha
17.1265,-12.0319,354.9482,199.0000,-0.0000,10.1674
26.2658,-11.7180,353.8646,200.0000,-0.0000,10.1674
36.2460,-11.3753,353.2670,201.0000,-0.0000,10.1674
45.9587,-11.0418,353.8566,202.0000,-0.0000,10.1674
54.8475,-10.7365,354.1805,203.0000,-0.0000,10.1674
63.8160,-10.4286,353.3513,204.0000,-0.0000,10.1674
73.5946,-10.0928,352.5173,205.0000,-0.0000,10.1674
83.4531,-9.7542,352.8044,206.0000,-0.0000,10.1674
92.5476,-9.4419,353.2715,207.0000,-0.0000,10.1674
101.4361,-9.1367,352.7185,208.0000,-0.0000,10.1674
110.9937,-8.8085,351.7640,209.0000,-0.0000,10.1674
120.9031,-8.4682,351.7101,210.0000,-0.0000,10.1674
130.2149,-8.1484,352.1854,211.0000,0.0000,10.1674
139.1093,-7.8430,351.9002,212.0000,0.0000,10.1674
148.4644,-7.5217,350.9493,213.0000,0.0000,10.1674
158.3374,-7.1827,350.5857,214.0000,0.0000,10.1674
167.8440,-6.8562,350.9638,215.0000,0.0000,10.1674
176.8136,-6.5482,350.9079,216.0000,0.0000,10.1674
186.0100,-6.2324,350.0647,217.0000,0.0000,10.1674
195.7806,-5.8969,349.4660,218.0000,0.0000,10.1674
205.4330,-5.5654,349.6728,219.0000,0.0000,10.1674
214.5253,-5.2532,349.7806,220.0000,0.0000,10.1674
223.6205,-4.9408,349.1122,221.0000,0.0000,10.1674
233.2513,-4.6101,348.3717,222.0000,0.0000,10.1674
242.9865,-4.2758,348.3678,223.0000,0.0000,10.1674
252.2250,-3.9586,348.5583,224.0000,0.0000,10.1674
261.2798,-3.6476,348.0915,225.0000,0.0000,10.1674
270.7623,-3.3220,347.3035,226.0000,0.0000,10.1674
280.5155,-2.9871,347.0854,227.0000,0.0000,10.1674
289.8994,-2.6648,347.2766,228.0000,0.0000,10.1674
298.9697,-2.3533,347.0031,229.0000,0.0000,10.1674
308.3192,-2.0323,346.2498,230.0000,0.0000,10.1674
318.0345,-1.6987,345.8450,231.0000,0.0000,10.1674
327.5424,-1.3722,345.9668,232.0000,0.0000,10.1674
336.6726,-1.0586,345.8513,233.0000,0.0000,10.1674
345.9209,-0.7410,345.1935,234.0000,0.0000,10.1674
355.5585,-0.4101,344.6517,235.0000,0.0000,10.1674
364.0613,3.9016,343.8298,236.0000,-45.0000,11.6694
366.4355,13.8590,342.7925,237.0000,-40.1050,11.2822
362.8163,23.6492,343.4473,238.0000,-16.1036,10.3155
357.8502,30.9942,344.6834,239.0000,-8.2874,10.2056
352.5163,37.3060,343.9368,240.0000,-4.2335,10.1773
345.9761,44.2080,342.0815,241.0000,-2.3311,10.1704
338.5321,51.5630,341.9381,242.0000,-1.0541,10.1680
331.7999,58.0132,343.1508,243.0000,-0.4950,10.1675
325.7412,63.7417,342.9995,244.0000,-0.2510,10.1674
319.1019,69.9778,341.3033,245.0000,-0.1383,10.1674
311.5625,77.0317,340.5841,246.0000,-0.0684,10.1674
304.4572,83.6665,341.5695,247.0000,-0.0295,10.1674
298.2121,89.4932,341.8978,248.0000,-0.0150,10.1674
291.7584,95.5123,340.5374,249.0000,-0.0081,10.1674
284.4016,102.3720,339.4143,250.0000,-0.0042,10.1674
277.0867,109.1918,340.0180,251.0000,-0.0018,10.1674
270.6307,115.2106,340.6600,252.0000,-0.0009,10.1674
264.2886,121.1230,339.7296,253.0000,-0.0005,10.1674
257.1654,127.7635,338.4049,254.0000,-0.0003,10.1674
249.7519,134.6747,338.5586,255.0000,-0.0001,10.1674
243.0620,140.9111,339.3313,256.0000,-0.0001,10.1674
236.7416,146.8032,338.8497,257.0000,-0.0000,10.1674
229.8464,153.2312,337.5184,258.0000,-0.0000,10.1674
222.4380,160.1374,337.2381,259.0000,-0.0000,10.1674
215.5255,166.5815,337.9700,260.0000,-0.0000,10.1674
209.1488,172.5259,337.8931,261.0000,-0.0000,10.1674
202.4417,178.7785,336.7150,262.0000,-0.0000,10.1674
195.1219,185.6022,336.0837,263.0000,-0.0000,10.1674
188.0290,192.2144,336.6378,264.0000,-0.0000,10.1674
181.5378,198.2657,336.8741,265.0000,-0.0000,10.1674
174.9606,204.3971,335.9566,266.0000,-0.0000,10.1674
167.7820,211.0892,335.0956,267.0000,-0.0000,10.1674
160.5725,217.8101,335.3822,268.0000,-0.0000,10.1674
153.9324,224.0001,335.8084,269.0000,-0.0000,10.1674
147.4208,230.0705,335.1983,270.0000,-0.0000,10.1674
140.4035,236.6122,334.2357,271.0000,-0.0000,10.1674
133.1492,243.3748,334.2151,272.0000,-0.0000,10.1674
126.3510,249.7122,334.6945,273.0000,-0.0000,10.1674
119.8435,255.7788,334.3811,274.0000,-0.0000,10.1674
112.9785,262.1785,333.4305,275.0000,-0.0000,10.1674
105.7452,268.9215,333.1121,276.0000,-0.0000,10.1674
98.8029,275.3933,333.5196,277.0000,-0.0000,10.1674
92.2471,281.5048,333.4518,278.0000,-0.0000,10.1674
85.5041,287.7909,332.6045,279.0000,-0.0000,10.1674
78.3418,294.4677,332.0439,280.0000,-0.0000,10.1674
71.2883,301.0432,332.2884,281.0000,-0.0000,10.1674
64.6465,307.2349,332.3932,282.0000,-0.0000,10.1674
57.9835,313.4463,331.7128,283.0000,-0.0000,10.1674
50.9216,320.0295,330.9957,284.0000,-0.0000,10.1674
43.8016,326.6670,331.0291,285.0000,-0.0000,10.1674
37.0540,332.9573,331.2235,286.0000,-0.0000,10.1674
30.4259,339.1362,330.7401,287.0000,-0.0000,10.1674
23.4729,345.6179,329.9608,288.0000,-0.0000,10.1674
16.3340,352.2730,329.7752,289.0000,-0.0000,10.1674
9.4788,358.6636,329.9768,290.0000,-0.0000,10.1674
2.8440,364.8488,329.6866,291.0000,-0.0000,10.1674
-5.8851,367.9075,328.1878,292.0000,-43.7814,11.5638
-16.0814,364.7895,327.3129,293.0000,-19.1968,10.3809
-24.3926,359.3691,328.7611,294.0000,-8.0354,10.2033
-30.7267,354.1056,329.4772,295.0000,-4.2779,10.1775
-36.9392,348.3449,327.8212,296.0000,-2.3538,10.1704
-44.1817,341.1716,326.2447,297.0000,-1.2426,10.1682
-51.3635,333.8034,327.0834,298.0000,-0.5066,10.1675
-57.3579,327.5613,328.1806,299.0000,-0.2618,10.1674
-63.0923,321.5497,327.1456,300.0000,-0.1377,10.1674
-69.7928,314.4989,325.3494,301.0000,-0.0753,10.1674
-76.9773,306.9227,325.5289,302.0000,-0.0330,10.1674
-83.2443,300.3076,326.7484,303.0000,-0.0162,10.1674
-88.9599,294.2719,326.3326,304.0000,-0.0082,10.1674
-95.3519,287.5204,324.5846,305.0000,-0.0045,10.1674
-102.4933,279.9764,324.1481,306.0000,-0.0022,10.1674
-109.0499,273.0499,325.2462,307.0000,-0.0010,10.1674
